gene,MetS,SI
A1BG,11.37869692,-3.788988085
A2M,-1.1398709009999999,-4.107954359
AAAS,5.1984031669999995,0.9883386999999999
AACS,3.164963975,-11.32359904
AAGAB,-2.133166053,-4.576528501
AAK1,5.51793254,1.7080997340000001
AAMDC,6.804028261,-1.942632418
AAMP,11.38889483,-4.889897756
AANAT,6.063586796,-8.40954861
AAR2,11.42429203,0.97546449
AARS,10.65173429,-1.5845182340000001
AARS2,7.261494047999999,-9.252865277
AASDH,8.159827351,-7.8551542329999995
AASDHPPT,-1.353532166,-6.392157805
AASS,0.448068755,-2.174204347
AATK,2.360492196,0.640909595
ABAT,-2.290853655,-10.51421707
ABCA1,-5.024991654,-9.588762569
ABCA10,-2.373979254,-2.196610193
ABCA13,9.178138092000001,-8.686515542999999
ABCA2,8.087005313999999,5.3061323719999995
ABCA3,8.087302758,-0.276171669
ABCA5,0.51705495,-9.454052786
ABCA7,5.105313314,-0.088881468
ABCB1,1.3633611190000001,1.7906168180000002
ABCB10,-1.7028980059999999,-4.413169495
ABCB4,-8.254627767999999,-1.80658232
ABCB6,1.885002975,-9.623908957000001
ABCB7,4.02177587,-9.430428475
ABCB9,3.89500966,-5.6936299020000005
ABCC1,7.539921881000001,-10.09488141
ABCC10,9.489018349,-7.0764656839999995
ABCC2,-5.070764162,-5.363604959
ABCC3,-2.594596005,-1.755019319
ABCC4,5.097309161,-6.697277522
ABCC5,1.6877247290000001,-5.4759884670000005
ABCC6,10.98047047,1.704513535
ABCD1,8.842265703999999,-2.7077528010000003
ABCD2,-1.5412043780000002,1.6809104330000002
ABCD3,0.474395122,-6.630147774
ABCD4,5.096128744,-9.711834759
ABCE1,-1.411385034,-6.774827704
ABCF2,4.997639137,-3.5102387939999997
ABCF3,9.03549514,-5.127937813
ABCG1,3.763025414,-6.475239156000001
ABCG2,-3.0528528010000002,2.427333075
ABHD1,3.0022546689999996,-8.229436945
ABHD10,-3.8072501739999995,-5.2627817089999995
ABHD11,4.092889083,9.945819378
ABHD12,5.514806,2.121725067
ABHD12B,7.596027876,-4.766709293
ABHD13,-4.075688475,-5.217600463999999
ABHD14B,-0.327640468,1.4314087880000002
ABHD15,3.5789831810000003,-9.296622611
ABHD16B,9.053965207000001,-5.588321707
ABHD17A,11.103708000000001,-4.907452181
ABHD17B,-1.521803688,-2.7724835210000003
ABHD17C,10.90846056,3.181492645
ABHD18,-3.0273132339999997,-6.580874616
ABHD2,1.6468916519999999,5.572278229
ABHD3,-4.314290223,-7.52549159
ABHD4,4.328973105,-8.207349661
ABHD5,-4.726875021000001,-1.544689183
ABHD6,5.548400753999999,-8.925964582
ABHD8,6.579161769,-3.319223408
ABI1,-2.033860119,-8.987564282000001
ABI2,-2.674805854,-9.535192572
ABI3,6.745425916,4.789489189
ABITRAM,0.601057621,0.945680193
ABL1,10.46171085,-4.720283088
ABL2,-2.122643052,-8.521440397000001
ABLIM1,-2.5826682009999997,-10.61539184
ABLIM2,8.07814957,4.873210325
ABLIM3,-8.580122777,-2.384319044
ABR,9.915123624,-1.52339762
ABRACL,4.825599026,-7.772061732
ABRAXAS1,-8.696699593,-4.962439062
ABRAXAS2,5.633380085,-9.997903341
ABT1,0.315604379,-5.920195904
ABTB1,-1.709375355,6.416332367000001
ABTB2,8.177987605,3.030055071
AC003665.1,6.8895554070000005,2.918571955
AC004086.1,4.857972428,3.417228736
AC004151.1,8.49936898,-3.028888104
AC004156.1,11.01041178,-7.174771017
AC004453.1,5.028935292,5.881710268
AC004475.1,2.076085736,-3.361753788
AC004551.1,-6.677200292,-0.024286146
AC005041.1,6.918946066,-9.693654661
AC005261.1,4.992650982,-7.5603448129999995
AC005747.1,1.77655573,4.136580976
AC005840.1,4.684649478,1.233585633
AC005954.1,5.652070459,-9.58703563
AC006538.1,3.689494878,-4.598497221000001
AC007318.1,1.515781148,-6.494600201
AC007663.1,3.189314272,-10.97537553
AC007685.1,8.192933296,-3.227985527
AC008755.1,6.714109685,-10.32633591
AC008969.1,-1.338272352,-9.503682273999999
AC009533.1,4.471422923,-0.516865341
AC010442.1,2.403656961,-10.80682982
AC010618.1,3.860292167,7.325512549
AC010761.1,-0.315727567,-4.127660273
AC012085.1,11.79595127,-5.96029837
AC016586.1,6.890959251,0.665588735
AC020659.1,1.918107805,-3.9567572039999996
AC021054.1,-8.495961767999999,-1.543200921
AC022966.1,5.626838616000001,-9.624564706000001
AC025171.1,4.7241357189999995,-8.409785132
AC026271.1,-6.13858783,-5.359877639
AC026412.1,5.481665108,-11.95704914
AC026470.1,-5.024192901,3.0960297010000004
AC027237.1,-0.142339467,1.562287269
AC034102.1,4.914943833,-7.843317376
AC034236.1,6.8853629000000005,-6.344149699
AC073869.1,4.42443023,-5.557001482
AC074143.1,8.601381971,3.593677847
AC080038.1,7.875052143,7.07052916
AC087289.1,9.769437337000001,-4.731578938
AC090152.1,9.929915877000001,2.8420699610000004
AC091021.1,-3.512173048,-8.606286696
AC091057.1,0.641095534,6.2816782
AC092072.1,-1.16151188,-1.114067596
AC092338.1,7.3745963439999995,-11.04452593
AC092724.1,4.054451758,10.0039435
AC092881.1,-0.46237150200000005,-10.05634333
AC093323.1,4.268115213,-11.23940885
AC093503.1,-4.723652864,8.006006245
AC093909.1,-1.544860303,6.905381917000001
AC099489.1,-2.266259436,-9.36903676
AC105219.1,-0.216287373,2.983733861
AC106795.1,10.72942882,-2.3717421069999998
AC118549.1,-3.593541222,-8.523233585
AC118754.1,7.789334182999999,2.1301344280000003
AC124319.1,0.08460119699999999,1.226736329
AC129492.1,7.664241466,-9.913716527
AC130689.1,10.40250029,-2.773344025
AC138356.1,6.945661747999999,-10.18197793
AC138932.1,5.238079583,-7.612192801
AC138969.1,9.14122042,-8.314555114
AC139530.1,3.568809982,-5.010707032
AC139768.1,-1.3397116279999999,-10.31983076
AC140134.1,7.897272639,-9.711451237999999
ACAA1,-1.5241009380000001,3.513440938
ACAA2,6.094258568,2.206198176
ACACB,2.048529465,-8.121806502
ACAD10,7.22692033,-4.4245692839999995
ACAD8,4.086245067,-11.06027
ACAD9,7.157954296000001,-8.011661692999999
ACADM,-6.826410416,-1.979740165
ACADS,9.894252522999999,-4.6042427
ACADVL,7.296858928,-0.031924247
ACAP1,5.791960292000001,1.5535565409999998
ACAP2,-5.039628426,-4.283094992
ACAP3,9.708848408,-2.6886038830000003
ACAT1,5.9626601489999995,5.729319922999999
ACAT2,2.971772889,0.23976794199999998
ACBD3,-1.374020834,-11.15694638
ACBD4,6.093457844,-7.774650792
ACBD5,-2.566436777,-4.655763676
ACCS,-3.4691087389999997,0.308321837
ACD,5.921766685,2.7792527989999996
ACE,3.6016994380000003,0.884183754
ACER1,4.099203794,-11.02252745
ACER2,-1.370576836,-7.147255897000001
ACER3,1.6353924659999999,-3.2653947810000004
ACIN1,3.7222503189999996,-10.36146187
ACKR2,9.956805117,-2.502411659
ACKR3,1.141416373,-9.588497907999999
ACLY,11.4872089,-0.665862737
ACO1,-2.4480987869999997,-8.623883053
ACO2,8.328130065,-1.629188085
ACOT11,7.993488318,1.5449662380000002
ACOT13,-6.012551523,3.48663972
ACOT2,8.008288965,-10.040057000000001
ACOT4,-1.122772449,6.912668449
ACOT7,2.439181853,6.658093935
ACOT8,9.369917663999999,4.413355733
ACOT9,-2.157503345,-8.943468374
ACOX1,2.81424428,-0.9958288270000001
ACOX2,-7.06529669,5.082119445
ACOX3,6.122615969,0.333321088
ACOXL,2.930798567,2.277254278
ACP1,1.1061211659999999,-6.23159889
ACP2,9.259696694,2.5780523140000002
ACP5,0.11043330900000001,-0.077954147
ACP6,1.3185611990000001,-8.177671978
ACPP,-0.77746542,-7.174702151
ACRBP,-7.213649133,-0.21286439999999998
ACSBG1,-7.836114062,-4.959827862
ACSF2,8.299460812000001,1.9172356680000002
ACSF3,8.591991411,-2.4082715180000003
ACSL1,-0.214888897,5.494507368
ACSL3,1.2910005709999999,4.192159562
ACSL4,-3.6196713469999997,0.605437538
ACSL6,-2.039303155,-1.155886496
ACSM1,1.55427226,4.401601682
ACSM3,4.15777962,-9.658757761
ACSS1,0.996027124,-0.613798857
ACSS2,5.660240912000001,-10.8397343
ACTA1,5.543258916,1.78887399
ACTA2,5.626597114,9.42136452
ACTB,9.848726857,1.7302340680000001
ACTBP11,11.01668187,-8.610937688
ACTG1,10.25193475,-1.0989601979999999
ACTG1P1,10.90813305,0.6755514690000001
ACTL10,6.805608812999999,7.664826431
ACTL6A,5.2689033830000005,-7.989583331
ACTN1,4.279411856,-0.916184737
ACTN4,9.579716101,4.739555196
ACTR10,-4.1004637289999994,0.007765193
ACTR1A,4.6379208080000005,8.052083637
ACTR1B,6.650932768,-11.65215048
ACTR2,-1.996092002,-4.141766875
ACTR3,0.9799871720000001,-4.494132915
ACTR3B,-5.580873531,3.7294346560000005
ACTR3C,3.4219106619999997,-11.98531758
ACTR5,3.1362713460000005,-5.731861503999999
ACTR6,-2.2530391180000002,-2.450997177
ACTR8,-0.5673953110000001,-8.088956027
ACVR1,1.155922799,-12.16675725
ACVR1B,9.06677369,-7.227808378
ACVR1C,-2.439224823,-5.282022284
ACVR2A,4.6713013530000005,-9.283306442999999
ACVR2B,1.9385185980000001,-9.574792805
ACVRL1,5.394964286,-11.38586811
ACY3,5.049229846999999,-9.28055522
ACYP1,-0.9994237640000001,-4.616970193
ACYP2,5.802110464,-10.510257699999999
ADA2,9.396133901,1.57141678
ADAL,-1.879330554,-11.11270749
ADAM10,-5.899265796,-4.5573109789999995
ADAM11,-5.534693217,-7.984726872
ADAM12,1.117300638,2.636482769
ADAM15,9.569786888,-2.198049581
ADAM17,2.8546116560000003,-9.393693642
ADAM19,-2.499157287,-2.313585782
ADAM22,-2.337773952,-1.3345188000000001
ADAM23,6.156878031000001,-7.452739748
ADAM28,-6.562230657000001,-8.801448038
ADAM8,6.539872569,-2.35910769
ADAM9,2.329882036,-5.146802449
ADAMDEC1,6.643360682999999,-10.24821038
ADAMTS1,1.197004718,9.073607271
ADAMTS10,2.405051507,-9.427941762
ADAMTS13,2.4836963069999998,-9.29836997
ADAMTS14,3.658293289,1.913507285
ADAMTS17,5.484789597000001,-11.46635468
ADAMTS4,-2.676875976,-8.868134477
ADAMTS5,5.681158821,-9.792008716
ADAMTS6,-3.8505999419999997,-3.554121328
ADAMTS8,3.731130538,7.885735048
ADAMTSL4,8.344107532999999,4.851396653
ADAMTSL5,-0.32733032100000004,1.290284925
ADAP1,6.626337159,6.68595649
ADAP2,7.937406117999999,-2.0069433759999997
ADAR,-2.885481772,-0.538206017
ADAT1,-1.63399528,-8.607536406
ADAT2,-1.713955422,-10.94656301
ADCK1,10.24881678,-4.79668241
ADCK2,7.6692309629999995,6.106033107999999
ADCK5,8.102015922,-7.756197582
ADCY10P1,0.7141270829999999,-9.603735764
ADCY3,7.1334692660000005,-3.975629946
ADCY4,7.375198338,-1.0975007159999999
