gene,T,R
GNAI3,0.304943826,0.145585243
CDC45,0.654978601,0.320427828
NCKAP1,0.901839039,-0.157927916
SCML2,0.353384046,-0.063533042
APOH,0.6906785759999999,0.307852591
NARF,0.417970677,-0.00176911
CAV2,0.343078261,-0.060748484
KLF6,0.418073784,0.297702974
SCMH1,0.787587554,-0.410894377
COX5A,0.460904362,0.160376004
TBX2,1.066329726,-0.207869482
TBX4,1.180390419,-0.067143989
NGFR,0.987053163,-0.115168016
WNT3,0.607271648,0.097628324
WNT9A,0.8406849590000001,-0.09003935
FER,0.476725028,0.321778798
XPO6,0.994004659,0.228079463
AXIN2,1.007006111,-0.24762632
GNA12,1.144601334,-0.1239997509999999
SLC22A18,0.8357711529999999,-0.417850964
IGSF5,0.426287617,-0.272192079
PIH1D2,0.300885386,-0.1612230369999999
DLAT,0.735627742,-0.17835529
SDHD,0.6800995590000001,0.190128922
FGF23,0.7253289509999999,0.489189977
FGF6,0.8992028320000001,0.034012854
CCND2,0.612336639,0.235777982
GPR107,0.3207642619999999,0.140255669
NALCN,0.4584463179999999,-0.019955317
BTBD17,0.809748492,0.226558498
SLFN12L,0.503675766,0.344488423
TH,1.054746892,-0.055403626
SCNN1G,0.8702416190000001,-0.282291438
DRP2,0.5784728920000001,0.046510168
TSPAN32,0.992781923,-0.149443525
LIM2,0.773795012,0.22921432
LHX2,0.773795012,0.22921432
GMPR,0.769167047,-0.323497626
MID2,0.539877371,-0.2112468069999999
TRIM25,1.057911895,0.11439966
DGKE,0.452162097,0.019718995
SCPEP1,0.597008459,0.264551006
MNT,1.090303644,-0.1776929639999999
ITGB2,0.937697117,0.190019617
HDDC2,0.399516742,0.28068307
TPD52L1,0.460326925,0.004185238
PEMT,0.937366665,0.161361379
CDH1,0.7410845979999999,-0.05530379
FZR1,0.7410845979999999,-0.05530379
CDH4,0.959625538,-0.2652643839999999
CKMT1A,0.6939344140000001,-0.406644764
CKMT1B,0.6939344140000001,-0.406644764
BCL6B,0.794887208,0.410372906
CLEC10A,1.004986261,0.103420165
ALOX12,0.864764271,0.111944931
ARVCF,0.934393125,-0.264739343
COMT,1.148307224,-0.146113611
DBT,0.2973734739999999,0.09705899
DAZAP2,0.977232815,-0.243268562
MCTS1,0.302408293,0.172507616
REM1,0.650298289,-0.080100872
RNF17,0.560456109,0.247101371
TRAPPC10,0.86406193,-0.131626725
CCM2,1.09910677,0.090832604
TBRG4,1.022426908,0.157429773
TMPRSS2,0.610914195,-0.406587573
MX1,0.4789567489999999,-0.149715005
MX2,0.4789567489999999,-0.149715005
FAP,0.476458442,0.210217564
GCG,0.755367371,0.250260236
NDUFA9,0.503273829,0.388715071
EGFL6,0.616954775,-0.426325844
LCK,0.663403092,-0.021261039
TSSK3,0.863905447,0.02873252
CTTNBP2,0.761105768,0.02981537
GALNT1,0.407447956,0.290513927
MYF5,0.684669442,-0.03336559
MKRN2,0.952750091,0.0215157739999999
PPARG,0.426593894,-0.2083169319999999
RAF1,0.7933454040000001,0.114468829
SI,1.134678695,-0.043019528
PDGFB,1.134678695,-0.043019528
ACVRL1,1.029389576,-0.2001087439999999
GRASP,1.115734386,-0.0989285519999999
ACVR1B,1.12753126,0.152083678
SREBF1,0.965386916,-0.295635639
TOM1L2,0.965386916,-0.295635639
GPA33,0.778170666,-0.009320099
ZNF385A,1.179786833,-0.0434834329999999
ITGA5,0.926851499,0.271103778
GABRA2,0.7135424779999999,-0.092099845
WDR77,0.956901048,0.113046604
ADORA3,0.595891004,0.069394682
ATP5PB,0.411937225,0.19405859
SOX9,1.080231926,0.078886784
HNRNPD,0.3348351069999999,0.215983907
DYNLT1,0.4405369079999999,0.036220746
C1D,0.331675047,0.204458406
GM2A,1.047314118,0.088934397
KRIT1,0.270352099,0.132612994
GRM6,0.7920002540000001,0.025986811
SEMA4F,0.860773516,-0.33909095
HK2,0.524470416,0.398668942
MYO18A,1.007271022,-0.0873717119999999
SEZ6,0.89573926,0.146885941
HAAO,0.934215083,0.1417983569999999
CD52,0.76325456,0.3537028379999999
ABHD15,0.950932473,0.159954625
HOXB6,1.059481708,-0.126391377
LOXL2,0.679922867,0.256212081
LOXL3,0.679922867,0.256212081
BTN1A1,0.733600425,-0.142542029
KAT2B,0.313397885,0.109817685
RAB5B,0.763236331,-0.435559131
CRYBA1,0.409256668,-0.076691776
DNMT3L,0.640516414,0.314091175
AIRE,0.647950659,-0.079542208
ICOSLG,1.045898533,-0.072883497
SPG7,0.758141739,0.189505515
RPL13,0.7247344720000001,0.360780503
CHMP1A,1.111247864,0.102463874
RPA1,0.904900062,-0.127425549
SERPINF1,0.924188245,-0.281309175
TUBGCP3,0.542478958,0.0545271959999999
POLR3D,1.034508563,0.181631761
TCF7,1.097056775,-0.158175707
DDX3X,0.329131393,0.151993253
IL12RB1,0.923243487,0.246094698
SLC5A5,0.923474102,-0.134042697
KCNN3,0.8261039640000001,-0.410125023
USP32,0.4520029339999999,0.262630574
CA4,1.1279044,-0.066434026
TXNRD3,0.451092831,-0.184931433
FASLG,0.569215231,0.010255424
DNAJC5,0.997967031,0.152381632
TPD52L2,0.532547679,0.077170629
FMR1,0.282902838,0.110871706
BCL11A,0.855053686,-0.024358853
IL4,0.4791467339999999,0.127506902
PXMP4,0.932312315,-0.327085677
DLG3,0.4714752339999999,-0.2180990039999999
GNB1L,1.071269107,0.065448602
DBH,0.634943281,-0.133656758
MMP11,0.788547769,-0.408248913
SMARCB1,1.116384712,-0.1169917219999999
VPREB3,0.896085523,-0.329435039
HIP1R,1.048579952,-0.064671894
NSUN5,0.8439027040000001,-0.013071823
TOP1MT,0.808871199,0.35353683
HOXA10,0.5370740039999999,0.078801535
HOXA4,1.064964203,0.00679466
SNRPN,0.5792242639999999,-0.160838402
MMP14,0.994061829,0.314820188
SLC7A7,0.975671502,0.1072816259999999
OXA1L,1.075762099,-0.185171714
HEATR6,0.871147564,-0.053027847
CCL3,0.809192254,0.391093364
ICAM4,1.0263148290000002,-0.001186985
TEX261,0.551958382,0.173841898
ILF2,0.551958382,0.173841898
SNAPIN,0.423445317,-0.211740601
S100A4,0.510126585,0.3397174779999999
S100A3,0.924177129,0.1634230619999999
